FoodID,FoodName,Category,Calories,Protein,Carbohydrates,Fat,Fiber,GlycemicIndex,Sodium_mg,Potassium_mg,Magnesium_mg,Calcium_mg,VitaminD_mcg,Zinc_mg,Omega3_g,SaturatedFat_g,Sugars,Cholesterol_mg,Meal_Type,NutrientDensity,GlycemicLoad,HeartHealthIndicator,AntiInflammatoryPotential,InsulinResistanceSuitability,HormonalHealthScore,WeightManagementScore,pcos_friendliness_score
11,Tomato,General,18,0.9,4.0,0.2,1.2,15,5,237.0,11.0,6.0,0.0,0.0,0.0,0.020000000000000004,0.0,0.0,Any,0.13455882352941176,0.6,70.02,54.64,57.599999999999994,3.3,62.3,44.224999999999994
12,Carrot,General,41,0.9,10.0,0.2,2.8,47,69,320.0,12.0,33.0,0.0,0.0,0.0,0.020000000000000004,0.0,0.0,Any,0.19157509157509153,4.7,75.55333333333333,59.54,44.8,3.5999999999999996,50.39999999999999,39.305
13,Broccoli,General,55,4.2,11.0,0.6,2.6,15,33,316.0,80.0,100.0,0.0,0.5,0.0,0.06,0.0,0.0,Any,0.48,1.65,77.92666666666668,65.61999999999999,69.8,26.0,70.80000000000001,58.005
14,Spinach,General,23,2.9,3.6,0.4,2.2,15,79,558.0,80.0,100.0,0.0,0.5,0.0,0.04000000000000001,0.0,0.0,Any,0.6365296803652968,0.54,87.94,64.47999999999999,65.6,26.0,69.8,56.26
15,Lettuce,General,5,0.5,1.0,0.1,0.5,15,5,45.0,8.0,18.0,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,Any,0.11757575757575758,0.15,54.46,52.269999999999996,54.0,2.4,60.0,41.8675
16,Cucumber,General,16,0.7,3.6,0.1,0.5,15,2,147.0,13.0,16.0,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,Any,0.11994949494949494,0.54,61.559999999999995,52.769999999999996,54.4,3.9000000000000004,59.3,42.3475
17,Zucchini,General,17,1.2,3.1,0.2,1.0,15,3,295.0,18.0,16.0,0.0,0.0,0.0,0.020000000000000004,0.0,0.0,Any,0.17661691542288557,0.465,73.28666666666666,54.739999999999995,57.4,5.3999999999999995,62.2,44.69499999999999
18,Bell Pepper,General,31,1.3,6.0,0.3,2.1,15,1,211.0,10.0,10.0,0.0,0.0,0.0,0.03,0.0,0.0,Any,0.16172839506172842,0.9,72.24666666666667,57.209999999999994,62.0,3.0,65.4,46.7325
19,Cauliflower,General,25,2.0,5.0,0.3,2.0,15,30,299.0,15.0,22.0,0.0,0.0,0.0,0.03,0.0,0.0,Any,0.22155555555555556,0.75,74.81333333333333,57.41,63.0,4.5,67.0,47.777499999999996
20,Celery,General,6,0.3,1.2,0.1,1.6,15,35,104.0,8.0,40.0,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,Any,0.21309523809523814,0.18,59.79333333333333,55.56999999999999,58.0,2.4,63.900000000000006,44.6725
21,Eggplant,General,25,1.0,6.0,0.2,3.0,15,2,229.0,14.0,9.0,5.0,1.0,0.0,0.020000000000000004,0.0,0.0,Any,0.640888888888889,0.9,76.98666666666666,60.339999999999996,65.0,33.2,69.0,56.685
22,Sweet Potato,General,86,1.6,20.0,0.1,3.0,70,55,337.0,23.0,30.0,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,Any,0.1613970588235294,14.0,78.92666666666666,61.269999999999996,33.2,6.9,36.599999999999994,34.3225
23,Brown Rice,General,216,5.0,45.8,1.8,3.5,68,7,154.0,43.0,19.0,0.0,0.0,0.0,0.18000000000000002,0.0,0.0,Any,0.12901002506265666,31.143999999999995,72.84666666666666,64.25999999999999,43.2,12.9,33.400000000000006,38.93
24,Quinoa,General,120,4.4,21.3,1.9,2.8,53,5,172.0,64.0,17.0,0.0,0.0,0.0,0.19,0.0,0.0,Any,0.21078431372549025,11.289000000000001,71.40666666666667,64.23,48.2,19.2,46.5,44.61750000000001
25,Oats,General,153,5.3,26.3,2.7,4.0,55,2,164.0,79.0,54.0,0.0,0.0,0.0,0.27,0.0,0.0,Any,0.24178981937602628,14.465,75.65333333333334,69.09,53.6,23.700000000000003,48.80000000000001,49.03750000000001
26,Whole Wheat Bread,General,79,2.9,15.4,1.0,2.7,69,134,82.0,29.0,20.0,0.0,0.0,0.0,0.1,0.0,0.0,Any,0.1864341085271318,10.626000000000001,52.46666666666667,60.7,35.199999999999996,8.7,39.2,35.75
27,Salmon,General,206,22.0,0.0,13.0,0.0,0,59,628.0,27.0,12.0,5.0,1.0,1.5,1.3,0.0,0.0,Any,0.6195963541666667,0.0,80.76666666666667,86.3,100.0,74.6,88.4,87.905
28,Chicken Breast,General,165,31.0,0.0,3.6,0.0,0,74,354.0,29.0,11.0,0.0,0.0,0.0,0.36000000000000004,0.0,0.0,Any,0.3272093023255814,0.0,64.75999999999999,51.82,100.0,8.7,100.0,65.13
29,Lean Beef,General,250,26.0,0.0,17.0,0.0,0,54,376.0,20.0,12.0,0.0,0.0,0.0,1.7000000000000002,0.0,0.0,Any,0.19400000000000003,0.0,62.86666666666666,46.9,100.0,6.0,92.0,61.625
30,Turkey Breast,General,98,22.0,0.0,1.0,0.0,0,47,290.0,22.0,10.0,0.0,0.0,0.0,0.1,0.0,0.0,Any,0.34121621621621623,0.0,64.23333333333332,51.900000000000006,100.0,6.6,99.2,64.465
31,Eggs,General,78,6.0,0.6,5.3,0.0,0,62,63.0,10.0,28.0,5.0,1.0,0.0,0.53,0.0,0.0,Any,0.3825520833333333,0.0,45.88,49.41,72.0,32.0,69.2,55.792500000000004
32,Almonds,General,579,21.2,21.6,49.9,12.5,0,1,733.0,270.0,264.0,0.0,0.0,0.0,4.99,0.0,0.0,Any,0.28293587705352413,0.0,100.0,99.53,100.0,81.0,99.5,95.0325
33,Walnuts,General,654,15.2,13.7,65.2,6.7,0,2,441.0,150.0,98.0,0.0,2.0,2.0,6.5200000000000005,0.0,0.0,Any,0.30307765151515154,0.0,79.91999999999999,100.0,100.0,100.0,56.8,91.36
34,Peanuts,General,567,25.8,16.1,49.2,8.5,14,18,705.0,168.0,92.0,0.0,0.0,0.0,4.920000000000001,0.0,0.0,Any,0.2125337655321448,2.2540000000000004,100.0,77.53999999999999,100.0,50.4,86.9,79.36500000000001
35,Greek Yogurt,General,59,10.0,3.6,0.4,0.0,11,36,141.0,12.0,120.0,1.2,0.0,0.0,0.24,0.0,0.0,Any,0.3761467889908257,0.396,54.839999999999996,50.480000000000004,73.4,9.6,73.6,51.76
36,Cottage Cheese,General,98,11.1,2.6,4.3,0.0,10,364,104.0,7.0,120.0,1.2,0.0,0.0,2.5799999999999996,0.0,0.0,Any,0.2834459459459459,0.26,10.21333333333334,42.96000000000001,76.19999999999999,8.1,72.4,50.105000000000004
37,Lentils,General,116,9.0,20.0,0.4,7.9,32,2,369.0,36.0,18.0,0.0,0.0,0.0,0.04000000000000001,0.0,0.0,Any,0.3321285140562249,6.4,100.0,77.17999999999999,90.4,10.799999999999999,87.0,66.515
38,Chickpeas,General,269,15.0,45.0,4.2,12.2,10,24,875.0,79.0,80.0,0.0,0.0,0.0,0.42000000000000004,0.0,0.0,Any,0.3085161964472309,4.5,100.0,93.24,100.0,23.700000000000003,100.0,79.235
39,Black Beans,General,227,15.2,41.4,0.9,15.0,30,1,611.0,120.0,28.0,0.0,0.0,0.0,0.09000000000000001,0.0,0.0,Any,0.40866425992779787,12.42,100.0,100.0,100.0,36.0,100.0,84.0
40,Brown Lentils,General,352,24.0,60.0,1.1,10.7,32,3,731.0,47.0,56.0,0.0,0.0,0.0,0.11000000000000001,0.0,0.0,Any,0.2512852404643449,19.2,100.0,86.47,100.0,14.1,100.0,75.1425
41,Quinoa,General,120,4.4,21.3,1.9,2.8,53,5,172.0,64.0,17.0,0.0,0.0,0.0,0.19,0.0,0.0,Any,0.21078431372549025,11.289000000000001,71.40666666666667,64.23,48.2,19.2,46.5,44.61750000000001
42,Spinach,General,23,2.9,3.6,0.4,2.2,15,79,558.0,80.0,100.0,0.0,0.5,0.0,0.04000000000000001,0.0,0.0,Any,0.6365296803652968,0.54,87.94,64.47999999999999,65.6,26.0,69.8,56.26
43,Kale,General,49,4.3,8.8,0.9,2.0,15,23,330.0,80.0,100.0,0.0,0.5,0.0,0.09000000000000001,0.0,0.0,Any,0.4909090909090909,1.32,77.34,63.73,67.6,26.0,69.2,56.5525
44,Salmon,General,206,22.0,0.0,13.0,0.0,0,59,628.0,27.0,12.0,5.0,1.0,1.5,1.3,0.0,0.0,Any,0.6195963541666667,0.0,80.76666666666667,86.3,100.0,74.6,88.4,87.905
45,Chicken Breast,General,165,31.0,0.0,3.6,0.0,0,74,354.0,29.0,11.0,0.0,0.0,0.0,0.36000000000000004,0.0,0.0,Any,0.3272093023255814,0.0,64.75999999999999,51.82,100.0,8.7,100.0,65.13
46,Lean Beef,General,250,26.0,0.0,17.0,0.0,0,54,376.0,20.0,12.0,0.0,0.0,0.0,1.7000000000000002,0.0,0.0,Any,0.19400000000000003,0.0,62.86666666666666,46.9,100.0,6.0,92.0,61.625
47,Turkey Breast,General,98,22.0,0.0,1.0,0.0,0,47,290.0,22.0,10.0,0.0,0.0,0.0,0.1,0.0,0.0,Any,0.34121621621621623,0.0,64.23333333333332,51.900000000000006,100.0,6.6,99.2,64.465
48,Eggs,General,78,6.0,0.6,5.3,0.0,0,62,63.0,10.0,28.0,5.0,1.0,0.0,0.53,0.0,0.0,Any,0.3825520833333333,0.0,45.88,49.41,72.0,32.0,69.2,55.792500000000004
49,Almonds,General,579,21.2,21.6,49.9,12.5,0,1,733.0,270.0,264.0,0.0,0.0,0.0,4.99,0.0,0.0,Any,0.28293587705352413,0.0,100.0,99.53,100.0,81.0,99.5,95.0325
50,Walnuts,General,654,15.2,13.7,65.2,6.7,0,2,441.0,150.0,98.0,0.0,2.0,2.0,6.5200000000000005,0.0,0.0,Any,0.30307765151515154,0.0,79.91999999999999,100.0,100.0,100.0,56.8,91.36
51,Peanuts,General,567,25.8,16.1,49.2,8.5,14,18,705.0,168.0,92.0,0.0,0.0,0.0,4.920000000000001,0.0,0.0,Any,0.2125337655321448,2.2540000000000004,100.0,77.53999999999999,100.0,50.4,86.9,79.36500000000001
52,Greek Yogurt,General,59,10.0,3.6,0.4,0.0,11,36,141.0,12.0,120.0,1.2,0.0,0.0,0.24,0.0,0.0,Any,0.3761467889908257,0.396,54.839999999999996,50.480000000000004,73.4,9.6,73.6,51.76
53,Cottage Cheese,General,98,11.1,2.6,4.3,0.0,10,364,104.0,7.0,120.0,1.2,0.0,0.0,2.5799999999999996,0.0,0.0,Any,0.2834459459459459,0.26,10.21333333333334,42.96000000000001,76.19999999999999,8.1,72.4,50.105000000000004
54,Lentils,General,116,9.0,20.0,0.4,7.9,32,2,369.0,36.0,18.0,0.0,0.0,0.0,0.04000000000000001,0.0,0.0,Any,0.3321285140562249,6.4,100.0,77.17999999999999,90.4,10.799999999999999,87.0,66.515
55,Chickpeas,General,269,15.0,45.0,4.2,12.2,10,24,875.0,79.0,80.0,0.0,0.0,0.0,0.42000000000000004,0.0,0.0,Any,0.3085161964472309,4.5,100.0,93.24,100.0,23.700000000000003,100.0,79.235
56,Black Beans,General,227,15.2,41.4,0.9,15.0,30,1,611.0,120.0,28.0,0.0,0.0,0.0,0.09000000000000001,0.0,0.0,Any,0.40866425992779787,12.42,100.0,100.0,100.0,36.0,100.0,84.0
57,Brown Lentils,General,352,24.0,60.0,1.1,10.7,32,3,731.0,47.0,56.0,0.0,0.0,0.0,0.11000000000000001,0.0,0.0,Any,0.2512852404643449,19.2,100.0,86.47,100.0,14.1,100.0,75.1425
58,Quinoa,General,120,4.4,21.3,1.9,2.8,53,5,172.0,64.0,17.0,0.0,0.0,0.0,0.19,0.0,0.0,Any,0.21078431372549025,11.289000000000001,71.40666666666667,64.23,48.2,19.2,46.5,44.61750000000001
59,Spinach,General,23,2.9,3.6,0.4,2.2,15,79,558.0,80.0,100.0,0.0,0.5,0.0,0.04000000000000001,0.0,0.0,Any,0.6365296803652968,0.54,87.94,64.47999999999999,65.6,26.0,69.8,56.26
60,Kale,General,49,4.3,8.8,0.9,2.0,15,23,330.0,80.0,100.0,0.0,0.5,0.0,0.09000000000000001,0.0,0.0,Any,0.4909090909090909,1.32,77.34,63.73,67.6,26.0,69.2,56.5525
61,Avocado,General,160,2.0,9.0,15.0,7.0,15,7,480.0,29.0,12.0,0.0,0.0,0.1,1.5,0.0,0.0,Any,0.1942063492063492,1.35,100.0,71.9,83.0,11.2,73.5,60.375
62,Berries (Mixed),General,43,0.7,10.0,0.4,2.4,40,1,77.0,6.0,16.0,0.0,0.0,0.0,0.04000000000000001,0.0,0.0,Any,0.13440860215053763,4.0,64.47333333333334,57.68000000000001,47.0,1.7999999999999998,51.7,39.31
63,Oranges,General,62,1.2,15.0,0.2,3.1,40,0,237.0,10.0,52.0,0.0,0.0,0.0,0.020000000000000004,0.0,0.0,Any,0.18244047619047615,6.0,78.12,60.239999999999995,50.8,3.0,53.599999999999994,41.769999999999996
64,Apples,General,52,0.3,14.0,0.2,2.4,39,0,107.0,5.0,6.0,0.0,0.0,0.0,0.020000000000000004,0.0,0.0,Any,0.10245098039215687,5.46,66.65333333333334,57.64,46.800000000000004,1.5,50.5,38.925000000000004
65,Grapes,General,69,0.72,18.0,0.16,0.9,59,2,191.0,8.0,10.0,0.0,0.0,0.0,0.016,0.0,0.0,Any,0.06252100840336135,10.62,66.06933333333335,53.452,29.639999999999997,2.4,33.64,29.583
66,Watermelon,General,30,0.6,8.0,0.2,0.6,72,1,112.0,10.0,11.0,0.0,0.0,0.0,0.020000000000000004,0.0,0.0,Any,0.085,5.76,59.68666666666667,52.739999999999995,20.4,3.0,29.60000000000001,25.975
67,Blueberries,General,57,0.7,14.0,0.3,2.4,53,1,77.0,9.0,6.0,0.0,0.0,0.0,0.03,0.0,0.0,Any,0.11448598130841121,7.42,64.51333333333334,58.01,39.199999999999996,2.6999999999999997,43.8,35.6975
68,Strawberries,General,32,0.7,7.7,0.3,2.0,40,1,153.0,13.0,16.0,0.0,0.0,0.0,0.03,0.0,0.0,Any,0.15752032520325202,3.08,67.98,57.209999999999994,45.4,3.9000000000000004,51.19999999999999,39.137499999999996
69,Broccoli,General,55,3.7,11.2,0.6,5.1,10,33,316.0,80.0,100.0,0.0,0.5,0.0,0.06,0.0,0.0,Any,0.5498412698412698,1.12,87.92666666666668,73.11999999999999,81.80000000000001,26.0,82.30000000000001,65.78
70,Cauliflower,General,25,1.9,5.3,0.3,2.0,15,30,299.0,15.0,22.0,0.0,0.0,0.0,0.03,0.0,0.0,Any,0.21888888888888886,0.795,74.81333333333333,57.41,62.8,4.5,66.8,47.677499999999995
71,Green Beans,General,31,1.8,7.0,0.2,3.4,15,6,209.0,25.0,37.0,0.0,0.0,0.0,0.020000000000000004,0.0,0.0,Any,0.30720164609053496,1.05,76.85333333333334,62.64,68.19999999999999,7.5,71.6,52.315
72,Zucchini,General,17,1.2,3.1,0.2,1.0,15,8,247.0,18.0,16.0,0.0,0.0,0.0,0.020000000000000004,0.0,0.0,Any,0.17661691542288557,0.465,69.58666666666667,54.739999999999995,57.4,5.3999999999999995,62.2,44.69499999999999
73,Carrots,General,41,0.9,10.0,0.2,2.8,39,69,320.0,12.0,33.0,0.0,0.0,0.0,0.020000000000000004,0.0,0.0,Any,0.19157509157509153,3.9,75.55333333333333,59.54,49.599999999999994,3.5999999999999996,54.39999999999999,41.545
74,Tomatoes,General,18,0.9,3.9,0.2,1.2,15,5,237.0,11.0,10.0,0.0,0.0,0.0,0.020000000000000004,0.0,0.0,Any,0.14044117647058824,0.585,70.02,54.64,57.599999999999994,3.3,62.3,44.224999999999994
75,Cucumber,General,16,0.7,3.6,0.1,0.5,15,2,76.0,7.0,14.0,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,Any,0.09419191919191917,0.54,56.82666666666667,52.17,54.4,2.1,59.3,41.7475
76,Asparagus,General,20,2.2,3.7,0.2,2.0,15,2,202.0,14.0,24.0,0.0,0.0,0.0,0.020000000000000004,0.0,0.0,Any,0.24238095238095236,0.555,71.18666666666667,57.339999999999996,63.4,4.2,67.9,47.985
77,Mushrooms,General,22,3.1,3.3,0.3,1.0,10,5,318.0,9.0,3.0,0.0,0.0,0.0,0.03,0.0,0.0,Any,0.16782407407407407,0.33,74.58,53.809999999999995,64.2,2.6999999999999997,68.0,46.987500000000004
78,Cabbage,General,25,1.3,5.8,0.1,2.2,10,18,170.0,9.0,40.0,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,Any,0.2157777777777778,0.58,68.29333333333332,57.47,65.39999999999999,2.6999999999999997,68.89999999999999,48.442499999999995
79,Onions,General,40,1.1,9.3,0.1,1.7,10,4,146.0,10.0,23.0,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,Any,0.14074074074074072,0.93,66.09333333333332,56.07,63.0,3.0,65.0,46.6675
80,Garlic,General,149,6.4,33.1,0.5,2.1,30,17,401.0,25.0,181.0,0.0,0.0,0.0,0.05,0.0,0.0,Any,0.22185929648241207,9.93,83.23333333333332,58.65,63.2,7.5,56.30000000000001,46.75750000000001
81,Lettuce,General,5,0.5,1.0,0.0,0.5,10,5,60.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,Any,0.0903030303030303,0.1,55.5,51.9,57.0,1.2,62.5,42.875
82,Celery,General,16,0.7,3.8,0.2,1.6,15,80,260.0,11.0,40.0,0.0,0.0,0.0,0.020000000000000004,0.0,0.0,Any,0.20429292929292928,0.57,65.65333333333334,55.839999999999996,58.8,3.3,63.7,45.165
83,Bell Peppers,General,31,1.3,6.3,0.3,1.7,15,3,175.0,10.0,10.0,0.0,0.0,0.0,0.03,0.0,0.0,Any,0.14526748971193415,0.945,68.04666666666667,56.01,60.4,3.0,63.8,45.63249999999999
84,Eggplant,General,25,1.0,6.0,0.2,3.0,15,2,229.0,14.0,9.0,5.0,1.0,0.0,0.020000000000000004,0.0,0.0,Any,0.640888888888889,0.9,76.98666666666666,60.339999999999996,65.0,33.2,69.0,56.685
85,Cauliflower Rice,General,25,1.9,5.3,0.3,2.0,15,30,299.0,15.0,22.0,0.0,0.0,0.0,0.03,0.0,0.0,Any,0.21888888888888886,0.795,74.81333333333333,57.41,62.8,4.5,66.8,47.677499999999995
86,Cabbage Soup,General,25,1.2,6.0,0.1,2.0,10,9,170.0,9.0,47.0,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,Any,0.21355555555555558,0.6,68.39333333333332,56.87,64.4,2.6999999999999997,67.9,47.792500000000004
87,Mushroom Soup,General,41,3.9,6.6,0.7,1.6,10,699,352.0,17.0,7.0,0.0,0.0,0.0,0.06999999999999999,0.0,0.0,Any,0.19871794871794873,0.66,9.68666666666667,56.29,68.2,5.1000000000000005,70.10000000000001,49.8275
88,Tomato Soup,General,74,2.6,16.0,0.6,2.4,38,479,800.0,26.0,42.0,0.0,0.0,0.0,0.06,0.0,0.0,Any,0.19274193548387097,6.08,64.79333333333334,59.620000000000005,52.0,7.800000000000001,53.400000000000006,43.135
89,Chicken Soup,General,86,9.6,7.2,1.9,0.6,10,1086,262.0,13.0,37.0,0.0,0.0,0.0,0.19,0.0,0.0,Any,0.20698529411764705,0.72,0.0,52.529999999999994,75.6,3.9000000000000004,73.0,51.387499999999996
90,Vegetable Soup,General,73,2.9,16.0,0.6,3.1,10,909,511.0,18.0,43.0,0.0,0.0,0.0,0.06,0.0,0.0,Any,0.20271002710027097,1.6,5.326666666666663,60.919999999999995,72.2,5.3999999999999995,70.9,52.42
91,Split Pea Soup,General,116,8.2,21.7,0.6,8.3,38,704,478.0,36.0,22.0,0.0,0.0,0.0,0.06,0.0,0.0,Any,0.3329317269076305,8.246,44.426666666666655,78.32,86.80000000000001,10.799999999999999,84.0,65.12
92,Fish Tacos,General,206,21.4,17.9,6.4,2.5,35,388,511.0,39.0,108.0,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,Any,0.28001302083333335,6.265,52.70666666666666,59.48,91.8,11.700000000000001,79.69999999999999,61.275
93,Turkey Chili,General,185,16.9,23.6,2.7,5.4,55,766,732.0,51.0,57.0,0.0,0.0,0.0,0.27,0.0,0.0,Any,0.298936170212766,12.98,42.72,70.49,82.4,15.3,74.4,61.04750000000001
94,Veggie Burger,General,124,10.1,10.9,4.5,5.6,15,312,406.0,35.0,40.0,5.0,1.0,0.0,0.45,0.0,0.0,Any,0.478639846743295,1.635,66.46666666666667,68.95,93.60000000000001,39.5,87.69999999999999,72.73249999999999
95,Chicken Salad,General,196,29.7,5.9,6.7,1.7,10,384,282.0,23.0,36.0,0.0,0.0,0.0,0.67,0.0,0.0,Any,0.30250677506775064,0.59,34.519999999999996,55.39,100.0,6.9,100.0,65.5725
96,Tuna Salad,General,179,22.2,0.7,9.9,0.1,10,387,207.0,22.0,15.0,5.0,1.0,1.5,0.9900000000000001,0.0,0.0,Any,0.6917030567685589,0.07,21.54,87.03,98.79999999999998,73.1,86.9,87.05249999999998
97,Greek Salad,General,193,5.9,5.2,18.2,2.0,15,469,152.0,17.0,152.0,0.0,0.0,0.0,1.82,0.0,0.0,Any,0.15603566529492455,0.78,13.953333333333335,52.24,70.8,5.1000000000000005,58.0,47.175
98,Caprese Salad,Meal/Vegetable,157,7.9,4.6,12.4,1.1,15,255,213.0,22.0,236.0,0.0,0.0,0.0,1.2400000000000002,5.0,40.0,Lunch,0.23462157809983894,0.69,38.13999999999999,39.28,71.2,6.6,62.0,45.23
99,Caesar Salad,General,184,7.8,4.1,16.2,1.3,15,413,207.0,17.0,195.0,0.0,0.0,0.0,1.62,0.0,0.0,Any,0.1866809116809117,0.6149999999999999,21.220000000000002,50.74,71.80000000000001,5.1000000000000005,59.900000000000006,47.480000000000004
100,Grilled Chicken,General,165,31.0,0.0,3.6,0.0,0,75,393.0,26.0,13.0,0.0,0.0,0.0,0.36000000000000004,0.0,0.0,Any,0.3246511627906977,0.0,67.26,51.52,100.0,7.800000000000001,100.0,64.83
101,Salmon,General,206,22.2,0.0,13.4,0.0,0,63,380.0,32.0,14.0,5.0,1.0,1.5,1.34,0.0,0.0,Any,0.6268229166666667,0.0,63.67333333333333,86.68,100.0,76.1,88.79999999999998,88.45499999999998
102,Shrimp Stir-Fry,General,140,25.0,5.3,1.7,1.0,15,230,401.0,34.0,53.0,0.0,0.0,0.0,0.17,0.0,0.0,Any,0.3533333333333334,0.795,57.053333333333335,55.89,100.0,10.200000000000001,97.5,66.0225
103,Roasted Turkey,General,135,29.0,0.0,1.0,0.0,0,59,334.0,25.0,13.0,0.0,0.0,0.0,0.1,0.0,0.0,Any,0.3543243243243243,0.0,65.96666666666665,52.2,100.0,7.5,100.0,64.925
104,Grilled Salmon,General,206,22.2,0.0,13.4,0.0,0,63,380.0,32.0,14.0,5.0,1.0,1.5,1.34,0.0,0.0,Any,0.6268229166666667,0.0,63.67333333333333,86.68,100.0,76.1,88.79999999999998,88.45499999999998
105,Baked Chicken,General,165,31.0,0.0,3.6,0.0,0,75,393.0,26.0,13.0,0.0,0.0,0.0,0.36000000000000004,0.0,0.0,Any,0.3246511627906977,0.0,67.26,51.52,100.0,7.800000000000001,100.0,64.83
106,Steamed Vegetables,General,62,2.5,11.7,0.6,4.1,15,28,452.0,19.0,54.0,0.0,0.0,0.0,0.06,0.0,0.0,Any,0.25729166666666664,1.755,93.49333333333334,64.02,72.4,5.7,72.69999999999999,53.690000000000005
107,Quinoa Salad,General,118,4.2,20.4,2.5,2.6,53,9,152.0,64.0,19.0,0.0,0.0,0.0,0.25,0.0,0.0,Any,0.20813492063492064,10.811999999999998,68.63333333333333,63.45,47.0,19.2,45.5,43.862500000000004
108,Cottage Cheese,General,98,11.1,3.4,4.3,0.0,10,364,92.0,9.0,120.0,1.2,0.0,0.0,2.5799999999999996,0.0,0.0,Any,0.2868243243243243,0.34,9.413333333333336,43.16,76.19999999999999,8.7,72.4,50.305
109,Greek Yogurt,General,59,10.0,3.6,0.4,0.0,11,39,141.0,10.0,120.0,1.2,0.0,0.0,0.24,0.0,0.0,Any,0.37155963302752293,0.396,54.54,50.28,73.4,9.0,73.6,51.56
110,Almonds,General,579,21.2,21.6,49.9,12.5,0,1,705.0,270.0,264.0,0.0,0.0,0.0,4.99,0.0,0.0,Any,0.28293587705352413,0.0,100.0,99.53,100.0,81.0,99.5,95.0325
111,Walnuts,General,654,15.2,13.7,65.2,6.7,0,2,441.0,150.0,98.0,0.0,2.0,2.0,6.5200000000000005,0.0,0.0,Any,0.30307765151515154,0.0,79.91999999999999,100.0,100.0,100.0,56.8,91.36
112,Peanuts,General,567,25.8,16.1,49.2,8.5,13,18,705.0,168.0,92.0,0.0,0.0,0.0,4.920000000000001,0.0,0.0,Any,0.2125337655321448,2.093,100.0,77.53999999999999,100.0,50.4,87.4,79.465
